source_row_id,Family,Type,Sub Type,DM Mean (% FM),VS Mean (% FM),VS/DM Mean (% FM),BMP exp Mean (Nm3 CH4/t VS),Biodegradation %,C/N,Carbon Mean (% DM),Hydrogen Mean (% DM),Nitrogen Mean (% DM),Sulfur Mean (% DM),Oxygen Mean (% DM),Cellulose Mean (g/100g DM),Hemicelluloses Mean (g/100g DM),Lignin Mean (g/100g DM),Protein Calculated (% DM),COD Calculated (g COD/g CxHyOz),source_label,BMP_VS,BMP_DM,VS_DM_from_components,BMP_DM_from_components,BMP_DM_reported_ratio_delta,VS_DM_rounding_delta,included_DM_ge_15,complete_model_inputs
1,LCM,Green waste,,80.6,36.9,0.46,63.1,7,29.2,34.5,4.5,1.2,0.3,5.3,31.9,13.8,17.9,2.0,1.3,LCM | Green waste | nan,63.1,29.026000000000003,0.45781637717121587,28.888213399503723,0.0,0.0021836228287841486,True,True
2,MAN,Mix,Manure and Spates,32.1,17.3,0.54,253.4,38,27.2,31.7,4.4,1.2,0.4,16.2,28.7,14.8,52.3,7.3,2.0,MAN | Mix | Manure and Spates,253.4,136.836,0.5389408099688473,136.5676012461059,0.0,0.0010591900311527347,True,True
3,MAN,Poultry,,57.2,35.3,0.62,216.8,49,12.0,28.7,4.0,2.4,0.4,26.2,16.6,13.6,35.4,14.9,1.4,MAN | Poultry | nan,216.8,134.416,0.6171328671328671,133.7944055944056,0.0,0.0028671328671329155,True,True
5,LCM,Bagasse,,56.7,41.2,0.73,250.6,39,297.1,42.8,5.5,0.1,0.1,24.1,32.1,15.7,22.8,0.7,1.3,LCM | Bagasse | nan,250.6,182.938,0.7266313932980599,182.09382716049382,0.0,0.003368606701940058,True,True
7,MAN,Cattle,Straw,45.6,34.2,0.75,131.9,21,51.3,43.5,5.8,0.8,0.3,24.6,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,131.9,98.92500000000001,0.75,98.92500000000001,0.0,0.0,True,True
8,MAN,Poultry,,75.9,58.0,0.76,263.8,63,15.3,34.7,4.7,2.3,0.6,34.3,16.6,13.6,35.4,14.9,1.4,MAN | Poultry | nan,263.8,200.488,0.764163372859025,201.5862977602108,0.0,-0.004163372859025016,True,True
9,MAN,Cattle,"Straw, after 1 month conservation",17.0,13.0,0.76,198.6,38,29.2,39.5,5.3,1.4,0.7,29.7,18.8,13.6,48.5,8.5,1.6,"MAN | Cattle | Straw, after 1 month conservation",198.6,150.936,0.7647058823529411,151.8705882352941,0.0,-0.004705882352941115,True,True
10,MAN,Turkey,,68.3,52.3,0.77,173.0,37,13.5,36.6,5.1,2.7,0.5,31.6,21.7,21.5,22.8,17.0,1.5,MAN | Turkey | nan,173.0,133.21,0.7657393850658858,132.47291361639824,0.0,0.004260614934114226,True,True
11,LCM,Green waste,,44.6,34.5,0.77,178.2,33,23.9,40.3,5.5,1.7,0.1,29.7,31.9,13.8,17.9,2.0,1.3,LCM | Green waste | nan,178.2,137.214,0.773542600896861,137.84529147982062,0.0,-0.0035426008968609812,True,True
12,LCM,Mix,Green waste,34.4,26.4,0.77,218.9,45,21.9,37.5,5.3,1.7,0.2,31.9,16.8,12.5,50.2,10.7,1.5,LCM | Mix | Green waste,218.9,168.553,0.7674418604651163,167.99302325581397,0.0,0.0025581395348837077,True,True
13,ENSI,Grass,,17.2,13.5,0.78,406.3,70,34.6,42.8,5.8,1.2,0.2,28.2,21.5,11.7,27.1,10.3,1.4,ENSI | Grass | nan,406.3,316.91400000000004,0.7848837209302326,318.89825581395354,0.0,-0.0048837209302325935,True,True
15,LCM,Hemp,Dust,88.1,69.0,0.78,184.4,36,48.5,39.6,5.3,0.8,0.2,32.5,19.5,8.9,28.2,5.1,1.5,LCM | Hemp | Dust,184.4,143.83200000000002,0.7832009080590239,144.42224744608401,0.0,-0.0032009080590238437,True,True
16,MAN,Cattle,Straw,43.1,34.5,0.8,191.3,39,54.2,40.6,4.8,0.7,1.4,32.7,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,191.3,153.04000000000002,0.8004640371229698,153.12877030162412,0.0,-0.0004640371229697182,True,True
17,MAN,Cattle,Straw,43.1,34.5,0.8,191.4,46,17.2,35.0,5.3,2.0,0.5,37.3,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,191.4,153.12,0.8004640371229698,153.2088167053364,0.0,-0.0004640371229697182,True,True
18,MAN,Horse,,20.2,16.4,0.81,182.6,41,27.5,39.5,4.5,1.4,0.5,35.2,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,182.6,147.906,0.8118811881188118,148.24950495049504,0.0,-0.0018811881188117718,True,True
19,MAN,Horse,,33.2,27.0,0.81,281.2,57,79.1,39.6,5.6,0.5,0.3,35.3,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,281.2,227.77200000000002,0.8132530120481927,228.68674698795178,0.0,-0.003253012048192616,True,True
20,MAN,Zoo,,31.3,25.5,0.81,235.3,51,30.8,38.7,5.3,1.3,0.3,35.6,21.9,15.2,38.6,7.8,1.4,MAN | Zoo | nan,235.3,190.59300000000002,0.8146964856230032,191.69808306709268,0.0,-0.004696485623003177,True,True
21,MAN,Poultry,,71.2,58.3,0.82,211.0,49,8.2,36.7,5.6,4.5,0.6,34.4,16.6,13.6,35.4,14.9,1.4,MAN | Poultry | nan,211.0,173.01999999999998,0.8188202247191011,172.77106741573033,0.0,0.0011797752808988538,True,True
22,MAN,Poultry,,49.6,40.5,0.82,185.6,42,15.3,37.7,5.4,2.5,0.7,35.4,16.6,13.6,35.4,14.9,1.4,MAN | Poultry | nan,185.6,152.19199999999998,0.8165322580645161,151.54838709677418,0.0,0.0034677419354838257,True,True
23,MAN,Horse,,31.5,26.0,0.83,250.6,60,13.5,36.2,5.6,2.7,0.6,37.3,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,250.6,207.998,0.8253968253968254,206.84444444444443,0.0,0.004603174603174609,True,True
24,MAN,Cattle,Straw,33.7,27.9,0.83,223.8,49,21.2,38.4,5.8,1.8,0.4,36.6,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,223.8,185.754,0.8278931750741839,185.28249258160238,0.0,0.002106824925816042,True,True
25,MAN,Poultry,,60.3,50.4,0.84,274.1,69,15.5,35.3,5.6,2.3,1.0,39.5,16.6,13.6,35.4,14.9,1.4,MAN | Poultry | nan,274.1,230.244,0.835820895522388,229.09850746268657,0.0,0.004179104477611939,True,True
27,LCM,Flower residue,Pomace,47.1,39.6,0.84,281.1,64,17.6,38.3,5.5,2.2,0.6,37.3,17.1,7.8,17.1,13.6,1.3,LCM | Flower residue | Pomace,281.1,236.12400000000002,0.8407643312101911,236.33885350318474,0.0,-0.0007643312101911492,True,True
28,ENSI,Mix,Grass,54.6,46.6,0.85,253.9,55,25.7,39.7,5.8,1.5,0.3,37.9,21.7,12.3,28.9,9.6,1.4,ENSI | Mix | Grass,253.9,215.815,0.8534798534798534,216.6985347985348,0.0,-0.0034798534798534675,True,True
29,MAN,Horse,,81.6,69.1,0.85,258.2,57,49.6,40.8,5.1,0.8,0.8,37.1,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,258.2,219.46999999999997,0.8468137254901961,218.6473039215686,0.0,0.0031862745098039102,True,True
30,MAN,Horse,,34.4,29.1,0.85,308.4,65,55.3,40.9,5.5,0.7,0.4,37.1,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,308.4,262.14,0.8459302325581396,260.88488372093025,0.0,0.0040697674418603835,True,True
31,MAN,Pig,,31.6,27.0,0.85,217.8,50,19.5,38.8,5.6,2.0,0.4,38.7,19.6,11.6,36.8,12.4,1.3,MAN | Pig | nan,217.8,185.13,0.8544303797468354,186.09493670886076,0.0,-0.004430379746835467,True,True
32,MAN,Cattle,Straw,16.6,14.3,0.86,236.0,51,30.7,41.8,5.3,1.4,0.2,37.8,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,236.0,202.96,0.8614457831325301,203.3012048192771,0.0,-0.0014457831325300763,True,True
33,MAN,Mix,Straw,20.9,18.1,0.86,366.0,72,20.1,42.8,6.2,2.1,0.3,35.0,20.2,14.9,28.6,13.8,1.4,MAN | Mix | Straw,366.0,314.76,0.8660287081339714,316.9665071770335,0.0,-0.006028708133971383,True,True
34,SLU,Rabbit,,18.4,15.9,0.86,263.8,55,24.1,41.6,5.9,1.7,0.5,36.7,20.6,13.5,28.6,10.8,1.4,SLU | Rabbit | nan,263.8,226.868,0.8641304347826088,227.9576086956522,0.0,-0.004130434782608772,True,True
35,ENSI,Mix,"Sunflower, Millet, and Guizotia abyssinica",16.7,14.5,0.87,312.7,68,27.6,42.0,5.4,1.5,0.4,37.6,17.3,7.1,26.6,9.5,1.4,"ENSI | Mix | Sunflower, Millet, and Guizotia abyssinica",312.7,272.049,0.8682634730538923,271.5059880239521,0.0,0.0017365269461077082,True,True
36,MAN,Horse,,57.6,50.3,0.87,281.1,62,62.4,40.7,5.7,0.7,0.5,39.8,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,281.1,244.55700000000002,0.8732638888888888,245.47447916666667,0.0,-0.003263888888888844,True,True
37,MAN,Cattle,Fern,27.6,24.1,0.87,162.0,33,32.6,43.2,5.6,1.3,0.2,36.9,20.0,14.5,36.3,8.3,1.4,MAN | Cattle | Fern,162.0,140.94,0.8731884057971014,141.45652173913044,0.0,-0.0031884057971014457,True,True
38,MAN,Mix,Straw,22.3,19.4,0.87,346.9,73,18.6,41.1,6.1,2.2,0.3,37.2,20.2,14.9,28.6,13.8,1.4,MAN | Mix | Straw,346.9,301.803,0.8699551569506726,301.7874439461883,0.0,4.484304932739214e-05,True,True
39,LCM,Maize,Beans,42.0,36.4,0.87,246.8,51,165.7,42.8,5.5,0.3,0.8,37.3,33.6,22.7,19.4,1.6,1.4,LCM | Maize | Beans,246.8,214.716,0.8666666666666666,213.89333333333332,0.0,0.0033333333333334103,True,True
40,LCM,Straw,Rapeseed waste,71.9,62.9,0.87,241.4,54,31.1,40.0,5.8,1.3,0.4,40.0,24.5,11.7,23.7,8.1,1.3,LCM | Straw | Rapeseed waste,241.4,210.018,0.8748261474269818,211.1830319888734,0.0,-0.004826147426981842,True,True
41,ENSI,Sorghum,,18.4,16.2,0.88,361.8,79,28.2,42.3,5.6,1.5,0.3,38.5,21.7,10.8,21.1,9.4,1.4,ENSI | Sorghum | nan,361.8,318.384,0.8804347826086957,318.5413043478261,0.0,-0.00043478260869567187,True,True
42,ENSI,Millet and Clover,,29.7,26.0,0.88,275.8,61,21.9,41.4,5.5,1.9,0.6,38.3,29.6,19.1,19.6,9.5,1.3,ENSI | Millet and Clover | nan,275.8,242.704,0.8754208754208754,241.44107744107745,0.0,0.004579124579124572,True,True
43,MAN,Horse,,51.0,44.8,0.88,240.9,57,75.1,39.3,5.6,0.5,0.6,41.8,25.3,14.2,48.7,10.0,1.7,MAN | Horse | nan,240.9,211.99200000000002,0.8784313725490196,211.61411764705883,0.0,0.0015686274509804088,True,True
44,MAN,Cattle,Straw,69.8,61.7,0.88,233.2,55,34.0,40.6,5.2,1.2,0.6,40.9,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,233.2,205.21599999999998,0.8839541547277938,206.13810888252152,0.0,-0.003954154727793813,True,True
45,MAN,Cattle,Straw,22.8,20.1,0.88,166.9,38,39.2,41.2,5.5,1.1,0.3,40.1,25.6,18.2,29.4,5.5,1.2,MAN | Cattle | Straw,166.9,146.872,0.8815789473684211,147.1355263157895,0.0,-0.0015789473684211242,True,True
46,LCM,Straw,,54.0,47.5,0.88,199.8,42,193.6,43.4,5.4,0.2,0.2,38.7,30.9,18.3,17.0,3.4,1.2,LCM | Straw | nan,199.8,175.824,0.8796296296296297,175.75,0.0,0.00037037037037035425,True,True
47,ENSI,Mix,Vega sorghum variety and San Lucas sunflower variety,21.5,19.1,0.89,286.9,67,25.3,41.5,5.3,1.6,0.3,40.4,24.7,10.1,26.7,10.3,1.3,ENSI | Mix | Vega sorghum variety and San Lucas sunflower variety,286.9,255.34099999999998,0.8883720930232559,254.8739534883721,0.0,0.0016279069767440868,True,True
48,ENSI,Mix,"Sunflower, Millet, and Guizotia abyssinica",17.6,15.7,0.89,318.4,69,30.4,42.8,5.5,1.4,0.2,39.1,17.3,7.1,26.6,9.5,1.4,"ENSI | Mix | Sunflower, Millet, and Guizotia abyssinica",318.4,283.376,0.8920454545454545,284.0272727272727,0.0,-0.0020454545454544615,True,True
49,ENSI,Mix,,18.6,16.5,0.89,337.1,70,32.8,42.5,6.1,1.3,0.2,38.6,22.6,9.2,25.1,8.1,1.4,ENSI | Mix | nan,337.1,300.019,0.8870967741935483,299.0403225806451,0.0,0.002903225806451748,True,True
50,ENSI,Mix,,28.9,25.8,0.89,368.7,81,57.0,41.8,5.8,0.7,0.2,40.7,22.6,9.2,25.1,8.1,1.4,ENSI | Mix | nan,368.7,328.143,0.8927335640138409,329.1508650519031,0.0,-0.002733564013840839,True,True
51,ENSI,Millet and Clover,,15.9,14.1,0.89,374.1,85,26.6,40.6,5.8,1.5,0.2,40.6,29.6,19.1,19.6,9.5,1.3,ENSI | Millet and Clover | nan,374.1,332.949,0.8867924528301886,331.74905660377357,0.0,0.00320754716981142,True,True
52,ENSI,Mix,Sorghum and Maize,32.1,28.4,0.89,315.9,74,51.5,38.7,6.1,0.8,0.3,42.8,22.0,15.4,17.8,4.7,1.2,ENSI | Mix | Sorghum and Maize,315.9,281.151,0.8847352024922117,279.48785046728966,0.0,0.005264797507788299,True,True
53,ENSI,Mix,Moha and Clover,50.3,44.8,0.89,282.5,58,34.9,43.9,6.0,1.3,0.2,37.7,28.4,13.5,19.2,7.9,1.5,ENSI | Mix | Moha and Clover,282.5,251.425,0.8906560636182903,251.610337972167,0.0,-0.0006560636182902924,True,True
54,ENSI,Grass,,27.8,24.7,0.89,264.3,57,25.2,41.5,6.1,1.6,0.2,39.3,21.5,11.7,27.1,10.3,1.4,ENSI | Grass | nan,264.3,235.227,0.8884892086330934,234.8276978417266,0.0,0.001510791366906572,True,True
55,ENSI,Grass,,21.3,18.9,0.89,461.2,100,23.8,41.4,5.9,1.7,0.4,39.2,21.5,11.7,27.1,10.3,1.4,ENSI | Grass | nan,461.2,410.468,0.8873239436619718,409.23380281690135,0.0,0.0026760563380282543,True,True
56,ENSI,Sorghum,,23.6,21.2,0.9,305.3,69,45.0,40.8,6.0,0.9,0.2,41.8,21.7,10.8,21.1,9.4,1.4,ENSI | Sorghum | nan,305.3,274.77000000000004,0.8983050847457626,274.25254237288135,0.0,0.0016949152542373724,True,True
57,ENSI,Mix,"Sorghum, Millet, and Sunflower mix",16.5,14.9,0.9,406.0,87,19.1,43.1,6.0,2.3,0.3,38.8,22.7,12.7,19.4,14.1,1.4,"ENSI | Mix | Sorghum, Millet, and Sunflower mix",406.0,365.40000000000003,0.9030303030303031,366.630303030303,0.0,-0.00303030303030305,True,True
58,ENSI,Mix,"Sorghum (Pacific graze), Millet (Robusta), Vetch (Bingo and Massa), and Clover (Tabor)",26.6,23.9,0.9,269.4,64,27.1,40.3,5.7,1.5,0.2,42.4,30.3,14.2,19.7,9.3,1.3,"ENSI | Mix | Sorghum (Pacific graze), Millet (Robusta), Vetch (Bingo and Massa), and Clover (Tabor)",269.4,242.45999999999998,0.8984962406015037,242.05488721804508,0.0,0.0015037593984963404,True,True
59,ENSI,Sunflower,,15.6,14.1,0.9,290.7,63,44.1,41.7,6.3,0.9,0.2,41.2,20.9,9.1,22.8,5.9,1.4,ENSI | Sunflower | nan,290.7,261.63,0.9038461538461539,262.7480769230769,0.0,-0.0038461538461538325,True,True
60,ENSI,Alfalfa,,69.0,62.4,0.9,271.0,60,26.7,42.9,5.7,1.6,0.2,40.0,23.6,9.2,21.5,10.1,1.4,ENSI | Alfalfa | nan,271.0,243.9,0.9043478260869565,245.0782608695652,0.0,-0.004347826086956497,True,True
61,MAN,Cattle,"After phase separation, Straw",15.3,13.8,0.9,321.9,80,15.8,39.8,5.4,2.5,0.5,41.8,24.5,17.5,26.0,15.7,1.2,"MAN | Cattle | After phase separation, Straw",321.9,289.71,0.9019607843137255,290.3411764705882,0.0,-0.0019607843137254832,True,True
62,MAN,Mix,,15.3,13.8,0.9,243.3,56,21.4,40.9,5.9,1.9,0.3,40.9,19.6,12.8,31.2,12.0,1.3,MAN | Mix | nan,243.3,218.97000000000003,0.9019607843137255,219.44705882352943,0.0,-0.0019607843137254832,True,True
63,CER,Mix,Cereal dust,89.4,80.1,0.9,300.1,66,42.6,41.9,5.8,1.0,0.1,40.8,29.7,21.3,21.4,6.1,1.3,CER | Mix | Cereal dust,300.1,270.09000000000003,0.895973154362416,268.88154362416105,0.0,0.004026845637584042,True,True
64,CER,Mix,Cereal residue,72.0,64.7,0.9,250.2,57,11.4,40.6,6.2,3.6,0.3,39.2,33.3,14.7,16.1,22.3,1.4,CER | Mix | Cereal residue,250.2,225.18,0.8986111111111111,224.8325,0.0,0.001388888888888884,True,True
65,ENSI,Millet,,22.9,20.8,0.91,267.9,61,54.1,42.7,5.3,0.8,0.2,41.9,28.6,17.7,22.3,4.9,1.3,ENSI | Millet | nan,267.9,243.789,0.9082969432314412,243.33275109170307,0.0,0.0017030567685588638,True,True
66,ENSI,Sorghum,,19.8,18.0,0.91,285.6,64,54.5,41.8,6.0,0.8,0.1,42.2,21.7,10.8,21.1,9.4,1.4,ENSI | Sorghum | nan,285.6,259.896,0.9090909090909091,259.6363636363636,0.0,0.0009090909090909705,True,True
