Family,Type,Sub Type,DM Mean (% FM),VS Mean (% FM),VS/DM Mean (% FM),BMP exp Mean (Nm3 CH4/t VS),Biodegradation %,C/N,Carbon Mean (% DM),Hydrogen Mean (% DM),Nitrogen Mean (% DM),Sulfur Mean (% DM),Oxygen Mean (% DM),Cellulose Mean (g/100g DM),Hemicelluloses Mean (g/100g DM),Lignin Mean (g/100g DM),Protein Calculated (% DM),COD Calculated (g COD/g CxHyOz)
LCM,Green waste,---,80.6,36.9,0.46,63.1,7,29.2,34.5,4.5,1.2,0.3,5.3,31.9,13.8,17.9,2,1.3
MAN,Mix,Manure and Spates,32.1,17.3,0.54,253.4,38,27.2,31.7,4.4,1.2,0.4,16.2,28.7,14.8,52.3,7.3,2
MAN,Poultry,---,57.2,35.3,0.62,216.8,49,12,28.7,4,2.4,0.4,26.2,16.6,13.6,35.4,14.9,1.4
MAN,Horse,---,8,5.3,0.66,237.6,42,22.4,35.8,5,1.6,0.3,23.8,25.3,14.2,48.7,10,1.7
LCM,Bagasse,---,56.7,41.2,0.73,250.6,39,297.1,42.8,5.5,0.1,0.1,24.1,32.1,15.7,22.8,0.7,1.3
SLU,Cattle,---,4.7,3.5,0.74,291,51,15.7,40.5,5.4,2.6,0.5,25.6,8.7,7.7,38.6,16.1,1.8
MAN,Cattle,Straw,45.6,34.2,0.75,131.9,21,51.3,43.5,5.8,0.8,0.3,24.6,25.6,18.2,29.4,5.5,1.2
MAN,Poultry,---,75.9,58,0.76,263.8,63,15.3,34.7,4.7,2.3,0.6,34.3,16.6,13.6,35.4,14.9,1.4
MAN,Cattle,"Straw, after 1 month conservation",17,13,0.76,198.6,38,29.2,39.5,5.3,1.4,0.7,29.7,18.8,13.6,48.5,8.5,1.6
MAN,Turkey,---,68.3,52.3,0.77,173,37,13.5,36.6,5.1,2.7,0.5,31.6,21.7,21.5,22.8,17,1.5
LCM,Green waste,---,44.6,34.5,0.77,178.2,33,23.9,40.3,5.5,1.7,0.1,29.7,31.9,13.8,17.9,2,1.3
LCM,Mix,Green waste,34.4,26.4,0.77,218.9,45,21.9,37.5,5.3,1.7,0.2,31.9,16.8,12.5,50.2,10.7,1.5
ENSI,Grass,---,17.2,13.5,0.78,406.3,70,34.6,42.8,5.8,1.2,0.2,28.2,21.5,11.7,27.1,10.3,1.4
SLU,Cattle,---,10.4,8.1,0.78,481,91,27.3,39.5,5.8,1.4,0.5,30.6,8.7,7.7,38.6,16.1,1.8
LCM,Hemp,Dust,88.1,69,0.78,184.4,36,48.5,39.6,5.3,0.8,0.2,32.5,19.5,8.9,28.2,5.1,1.5
MAN,Cattle,Straw,43.1,34.5,0.8,191.3,39,54.2,40.6,4.8,0.7,1.4,32.7,25.6,18.2,29.4,5.5,1.2
MAN,Cattle,Straw,43.1,34.5,0.8,191.4,46,17.2,35,5.3,2,0.5,37.3,25.6,18.2,29.4,5.5,1.2
MAN,Horse,---,20.2,16.4,0.81,182.6,41,27.5,39.5,4.5,1.4,0.5,35.2,25.3,14.2,48.7,10,1.7
MAN,Horse,---,33.2,27,0.81,281.2,57,79.1,39.6,5.6,0.5,0.3,35.3,25.3,14.2,48.7,10,1.7
MAN,Zoo,---,31.3,25.5,0.81,235.3,51,30.8,38.7,5.3,1.3,0.3,35.6,21.9,15.2,38.6,7.8,1.4
MAN,Poultry,---,71.2,58.3,0.82,211,49,8.2,36.7,5.6,4.5,0.6,34.4,16.6,13.6,35.4,14.9,1.4
MAN,Poultry,---,49.6,40.5,0.82,185.6,42,15.3,37.7,5.4,2.5,0.7,35.4,16.6,13.6,35.4,14.9,1.4
MAN,Horse,---,31.5,26,0.83,250.6,60,13.5,36.2,5.6,2.7,0.6,37.3,25.3,14.2,48.7,10,1.7
MAN,Cattle,Straw,33.7,27.9,0.83,223.8,49,21.2,38.4,5.8,1.8,0.4,36.6,25.6,18.2,29.4,5.5,1.2
MAN,Poultry,---,60.3,50.4,0.84,274.1,69,15.5,35.3,5.6,2.3,1,39.5,16.6,13.6,35.4,14.9,1.4
SLU,Duck,---,6.2,5.2,0.84,551.2,100,14.2,42.1,6.1,3,0.4,31.9,13.2,23.5,19.1,18.6,1.6
LCM,Flower residue,Pomace,47.1,39.6,0.84,281.1,64,17.6,38.3,5.5,2.2,0.6,37.3,17.1,7.8,17.1,13.6,1.3
ENSI,Mix,Grass,54.6,46.6,0.85,253.9,55,25.7,39.7,5.8,1.5,0.3,37.9,21.7,12.3,28.9,9.6,1.4
MAN,Horse,---,81.6,69.1,0.85,258.2,57,49.6,40.8,5.1,0.8,0.8,37.1,25.3,14.2,48.7,10,1.7
MAN,Horse,---,34.4,29.1,0.85,308.4,65,55.3,40.9,5.5,0.7,0.4,37.1,25.3,14.2,48.7,10,1.7
MAN,Pig,---,31.6,27,0.85,217.8,50,19.5,38.8,5.6,2,0.4,38.7,19.6,11.6,36.8,12.4,1.3
MAN,Cattle,Straw,16.6,14.3,0.86,236,51,30.7,41.8,5.3,1.4,0.2,37.8,25.6,18.2,29.4,5.5,1.2
MAN,Mix,Straw,20.9,18.1,0.86,366,72,20.1,42.8,6.2,2.1,0.3,35,20.2,14.9,28.6,13.8,1.4
SLU,Rabbit,---,18.4,15.9,0.86,263.8,55,24.1,41.6,5.9,1.7,0.5,36.7,20.6,13.5,28.6,10.8,1.4
ENSI,Mix,"Sunflower, Millet, and Guizotia abyssinica",16.7,14.5,0.87,312.7,68,27.6,42,5.4,1.5,0.4,37.6,17.3,7.1,26.6,9.5,1.4
MAN,Horse,---,57.6,50.3,0.87,281.1,62,62.4,40.7,5.7,0.7,0.5,39.8,25.3,14.2,48.7,10,1.7
MAN,Cattle,Fern,27.6,24.1,0.87,162,33,32.6,43.2,5.6,1.3,0.2,36.9,20,14.5,36.3,8.3,1.4
MAN,Mix,Straw,22.3,19.4,0.87,346.9,73,18.6,41.1,6.1,2.2,0.3,37.2,20.2,14.9,28.6,13.8,1.4
LCM,Maize,Beans,42,36.4,0.87,246.8,51,165.7,42.8,5.5,0.3,0.8,37.3,33.6,22.7,19.4,1.6,1.4
LCM,Straw,Rapeseed waste,71.9,62.9,0.87,241.4,54,31.1,40,5.8,1.3,0.4,40,24.5,11.7,23.7,8.1,1.3
ENSI,Sorghum,---,18.4,16.2,0.88,361.8,79,28.2,42.3,5.6,1.5,0.3,38.5,21.7,10.8,21.1,9.4,1.4
ENSI,Millet and Clover,---,29.7,26,0.88,275.8,61,21.9,41.4,5.5,1.9,0.6,38.3,29.6,19.1,19.6,9.5,1.3
MAN,Horse,---,51,44.8,0.88,240.9,57,75.1,39.3,5.6,0.5,0.6,41.8,25.3,14.2,48.7,10,1.7
MAN,Cattle,Straw,69.8,61.7,0.88,233.2,55,34,40.6,5.2,1.2,0.6,40.9,25.6,18.2,29.4,5.5,1.2
MAN,Cattle,Straw,22.8,20.1,0.88,166.9,38,39.2,41.2,5.5,1.1,0.3,40.1,25.6,18.2,29.4,5.5,1.2
LCM,Straw,---,54,47.5,0.88,199.8,42,193.6,43.4,5.4,0.2,0.2,38.7,30.9,18.3,17,3.4,1.2
ENSI,Mix,Vega sorghum variety and San Lucas sunflower variety,21.5,19.1,0.89,286.9,67,25.3,41.5,5.3,1.6,0.3,40.4,24.7,10.1,26.7,10.3,1.3
ENSI,Mix,"Sunflower, Millet, and Guizotia abyssinica",17.6,15.7,0.89,318.4,69,30.4,42.8,5.5,1.4,0.2,39.1,17.3,7.1,26.6,9.5,1.4
ENSI,Mix,---,18.6,16.5,0.89,337.1,70,32.8,42.5,6.1,1.3,0.2,38.6,22.6,9.2,25.1,8.1,1.4
ENSI,Mix,---,28.9,25.8,0.89,368.7,81,57,41.8,5.8,0.7,0.2,40.7,22.6,9.2,25.1,8.1,1.4
ENSI,Millet and Clover,---,15.9,14.1,0.89,374.1,85,26.6,40.6,5.8,1.5,0.2,40.6,29.6,19.1,19.6,9.5,1.3
ENSI,Mix,Sorghum and Maize,32.1,28.4,0.89,315.9,74,51.5,38.7,6.1,0.8,0.3,42.8,22,15.4,17.8,4.7,1.2
ENSI,Mix,Moha and Clover,50.3,44.8,0.89,282.5,58,34.9,43.9,6,1.3,0.2,37.7,28.4,13.5,19.2,7.9,1.5
ENSI,Grass,---,27.8,24.7,0.89,264.3,57,25.2,41.5,6.1,1.6,0.2,39.3,21.5,11.7,27.1,10.3,1.4
ENSI,Grass,---,21.3,18.9,0.89,461.2,100,23.8,41.4,5.9,1.7,0.4,39.2,21.5,11.7,27.1,10.3,1.4
ENSI,Sorghum,---,23.6,21.2,0.9,305.3,69,45,40.8,6,0.9,0.2,41.8,21.7,10.8,21.1,9.4,1.4
ENSI,Mix,"Sorghum, Millet, and Sunflower mix",16.5,14.9,0.9,406,87,19.1,43.1,6,2.3,0.3,38.8,22.7,12.7,19.4,14.1,1.4
ENSI,Mix,"Sorghum (Pacific graze), Millet (Robusta), Vetch (Bingo and Massa), and Clover (Tabor)",26.6,23.9,0.9,269.4,64,27.1,40.3,5.7,1.5,0.2,42.4,30.3,14.2,19.7,9.3,1.3
ENSI,Sunflower,---,15.6,14.1,0.9,290.7,63,44.1,41.7,6.3,0.9,0.2,41.2,20.9,9.1,22.8,5.9,1.4
ENSI,Alfalfa,---,69,62.4,0.9,271,60,26.7,42.9,5.7,1.6,0.2,40,23.6,9.2,21.5,10.1,1.4
MAN,Cattle,"After phase separation, Straw",15.3,13.8,0.9,321.9,80,15.8,39.8,5.4,2.5,0.5,41.8,24.5,17.5,26,15.7,1.2
MAN,Mix,---,15.3,13.8,0.9,243.3,56,21.4,40.9,5.9,1.9,0.3,40.9,19.6,12.8,31.2,12,1.3
CER,Mix,Cereal dust,89.4,80.1,0.9,300.1,66,42.6,41.9,5.8,1,0.1,40.8,29.7,21.3,21.4,6.1,1.3
CER,Mix,Cereal residue,72,64.7,0.9,250.2,57,11.4,40.6,6.2,3.6,0.3,39.2,33.3,14.7,16.1,22.3,1.4
ENSI,Millet,---,22.9,20.8,0.91,267.9,61,54.1,42.7,5.3,0.8,0.2,41.9,28.6,17.7,22.3,4.9,1.3
ENSI,Sorghum,---,19.8,18,0.91,285.6,64,54.5,41.8,6,0.8,0.1,42.2,21.7,10.8,21.1,9.4,1.4
ENSI,Mix,"Faba bean, Triticale, and Radish",17.5,16.1,0.91,294.3,70,30.2,41,5.7,1.4,0.3,43.1,17.5,8.8,18.1,8.5,1.2
ENSI,Mix,"Peas, Vetch, Oats, and Beans",27,24.5,0.91,331,67,20.6,45,6.1,2.2,0.2,37.4,21.9,10.7,20.2,13.7,1.5
ENSI,Grass,---,23.4,21.3,0.91,403.2,90,29.3,42.9,5.7,1.5,0.3,40.8,21.5,11.7,27.1,10.3,1.4
ENSI,Grass,---,39.9,36.1,0.91,187.2,40,49.5,42.4,6.4,0.9,0.3,40.6,21.5,11.7,27.1,10.3,1.4
MAN,Cattle,Straw,27.7,25.1,0.91,257.7,63,45.9,40.3,5.5,0.9,0.2,43.7,25.6,18.2,29.4,5.5,1.2
LCM,Straw,Waste,79.2,71.8,0.91,329.8,72,79.1,42.8,5.8,0.5,0.2,41.4,25.3,24.1,21.3,3.4,1.3
ENSI,Sorghum,---,35.9,33.1,0.92,272.6,62,51.7,43.9,5.3,0.8,0.2,42,21.7,10.8,21.1,9.4,1.4
ENSI,Sorghum,Sucro variety,15.5,14.3,0.92,351.3,79,25.1,42.6,6,1.7,0.2,41.8,25.1,12.1,18.1,10.6,1.3
ENSI,Sorghum,Vega variety,16.1,14.8,0.92,360.4,79,19.5,43.4,5.9,2.2,0.2,39.9,22.8,13.7,20,13.9,1.4
ENSI,Millet and Clover,---,27.1,24.9,0.92,303.7,69,23.3,42.6,5.8,1.8,0.3,41.3,29.6,19.1,19.6,9.5,1.3
ENSI,Millet and Clover,---,27.1,24.9,0.92,285.2,65,31.5,42.9,5.6,1.4,0.2,42.1,29.6,19.1,19.6,9.5,1.3
ENSI,Mix,"Faba bean, Rye, and Radish",20.3,18.8,0.92,300.1,72,29.4,42,5.5,1.4,0.2,43.2,19.6,10.6,22.4,8.9,1.2
SLU,Cattle,---,26.3,24.2,0.92,224.1,70,16,35.9,5.1,2.2,0.6,48,8.7,7.7,38.6,16.1,1.8
LCM,Bagasse and Straw,---,52.2,48.3,0.92,188.1,42,245.9,43.3,5.7,0.2,0.3,43,30.1,18.2,17.6,1.1,1.3
LCM,Straw,Waste,84.5,77.3,0.92,306,66,128.8,43.5,5.9,0.3,0.1,41.7,25.3,24.1,21.3,3.4,1.3
LCM,Flower residue,Lavender,88.7,81.2,0.92,200.5,42,41.5,45,6,1.1,0.3,39.3,20.8,12.1,30.8,6.8,1.4
ENSI,Rye and Vetch,---,49.4,45.9,0.93,255.1,62,40.2,42.3,5.3,1.1,0.2,44.1,25.8,15.1,22.1,6.6,1.2
CER,Mix,Cereals,87,80.6,0.93,313.3,67,12.1,43.3,6.7,3.6,0.2,38.9,50.2,7.9,14.2,9.1,1.3
CER,Mix,Cereals,77,71.9,0.93,328.4,73,18.3,43.2,6.4,2.4,0.2,41.3,50.2,7.9,14.2,9.1,1.3
CER,Mix,Silo?s lose,79.8,74.1,0.93,320.4,77,56.2,40.2,6.2,0.7,0.3,45.4,51.6,10.7,18.7,4.5,1.2
LCM,Straw,---,75.9,70.4,0.93,305.5,70,102.2,42.9,5.7,0.4,0.2,43.5,30.9,18.3,17,3.4,1.2
LCM,Straw,Waste,83.9,78.2,0.93,283.8,62,119.4,43.6,6.3,0.4,0.2,42.8,25.3,24.1,21.3,3.4,1.3
LCM,Straw,Waste,88.8,82.3,0.93,267,64,263.7,40.3,6.1,0.2,0.8,45.3,25.3,24.1,21.3,3.4,1.3
LCM,Green waste,---,37.9,35.2,0.93,212.1,47,136.8,43.4,5.8,0.3,0.6,42.7,31.9,13.8,17.9,2,1.3
LCM,Hay,Meadow,86,80.4,0.93,289,65,51.4,42.6,6.3,0.8,0.1,43.7,26.8,19.9,23.7,5.2,1.3
LCM,Maize,Leaf,37.8,35,0.93,286.3,65,56.5,43.2,5.8,0.8,0.1,42.8,25.7,20.8,27.5,4.8,1.3
ENSI,Sorghum,---,24.7,23.3,0.94,289.8,67,43.3,43.6,5.8,1,0.2,43.7,21.7,10.8,21.1,9.4,1.4
ENSI,Rye and Vetch,---,28.3,26.7,0.94,284.6,68,58.8,42.8,5.6,0.7,0.2,45,25.8,15.1,22.1,6.6,1.2
ENSI,Rapeseed,---,18.2,17.2,0.94,432.5,93,79.4,44.4,6.4,0.6,0.5,42.4,25.7,10.2,27.4,3.5,1.4
LCM,Flower residue,Lavender,82.8,78.2,0.94,171.3,37,68.8,44.3,6.3,0.6,0.6,42.6,20.8,12.1,30.8,6.8,1.4
ENSI,Maize,---,30.2,28.8,0.95,335.1,75,42.2,43.6,6.5,1,0.1,43.9,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,32,30.3,0.95,301.1,71,37.7,42.2,6.2,1.1,0.3,44.9,47.7,11.5,11.4,5.6,1.3
ENSI,Grass,Ray-grass,17.6,16.7,0.95,393.3,87,66.5,44.5,6,0.7,0.2,43.1,31.9,14.1,21.9,4.2,1.3
LCM,Straw,Plant residues,88,83.9,0.95,277.6,68,60,42.2,5.8,0.7,0.3,46.4,28.5,17.5,16.3,4.4,1.2
LCM,Straw,Plant residues,87.2,83.2,0.95,298.9,69,89.3,42.9,6.2,0.5,0.1,45.6,28.5,17.5,16.3,4.4,1.2
LCM,Straw,Plant residues,86.3,82.3,0.95,280.5,69,68.3,41.5,6,0.6,0.2,47.1,28.5,17.5,16.3,4.4,1.2
LCM,Straw,---,86.5,82.2,0.95,277.6,67,64,43,5.7,0.7,0.1,45.5,30.9,18.3,17,3.4,1.2
LCM,Straw,---,88.3,84,0.95,302.1,72,73.6,42.3,6,0.6,0.3,46,30.9,18.3,17,3.4,1.2
LCM,Straw,---,90.6,85.8,0.95,240,60,406.3,41.2,5.7,0.1,0.8,46.9,30.9,18.3,17,3.4,1.2
LCM,Bagasse,---,43.2,40.9,0.95,173.7,39,376.8,44.6,5.9,0.1,0.2,44,32.1,15.7,22.8,0.7,1.3
ENSI,Sorghum,Sucro variety,31.3,29.9,0.96,332.7,79,73.8,43.5,5.8,0.6,0.2,45.6,25.1,12.1,18.1,10.6,1.3
ENSI,Maize,---,35.2,33.9,0.96,272.1,63,47.5,42.6,6.5,0.9,0.1,46.2,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,28.5,27.2,0.96,376.3,89,43.3,43.1,5.9,1,0.1,45.4,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,33.6,32.4,0.96,383.9,85,45.6,44.6,6.4,1,0.1,44.4,47.7,11.5,11.4,5.6,1.3
CER,Mix,Cereals,75.6,72.5,0.96,285.9,64,29.4,43,6.7,1.5,0.1,44.5,50.2,7.9,14.2,9.1,1.3
LCM,Straw,Plant residues,89,85.1,0.96,292.7,70,89,42.5,6.1,0.5,0.2,46.4,28.5,17.5,16.3,4.4,1.2
LCM,Straw,---,85,81.2,0.96,309.7,72,162.8,43.8,5.9,0.3,0.1,45.6,30.9,18.3,17,3.4,1.2
LCM,Straw,Waste,84.9,81.3,0.96,293.7,67,126.8,44.2,5.9,0.3,0.1,45.2,25.3,24.1,21.3,3.4,1.3
ENSI,Maize,---,36.5,35.3,0.97,336,82,47.9,41.8,6.4,0.9,0.2,47.4,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,33,32.1,0.97,319.1,73,44.4,44.4,6.4,1,0.1,45.4,47.7,11.5,11.4,5.6,1.3
CER,Maize Residues,Follicle,73.9,71.7,0.97,279.2,64,33.1,43.1,6.8,1.3,0.2,45.6,49,10.8,12,8.2,1.3
CER,Wheat,Contaminated culture,86.2,84,0.97,317.7,78,22.9,41.2,6.8,1.8,0.2,47.4,59.3,6,5.5,11.3,1.2
CER,Maize,Fresh residue from sweet corn,23.9,23.3,0.97,306,71,43.7,43.8,6.4,1,0.1,46.3,29.5,16.1,15.4,5.1,1.2
LCM,Straw,---,87.6,84.6,0.97,274.1,67,77.8,42.7,6,0.5,0.3,47.1,30.9,18.3,17,3.4,1.2
LCM,Straw,---,88.8,86,0.97,290.6,69,132,43,6.3,0.3,0.1,47.1,30.9,18.3,17,3.4,1.2
ENSI,Maize,---,19.8,19.4,0.98,418,90,42.1,46.8,6.3,1.1,0.2,43.4,47.7,11.5,11.4,5.6,1.3
ENSI,Mix,Residue,23.3,22.9,0.98,371.5,81,62.4,45.5,6.6,0.7,0.1,45.1,13.5,9,14,4.6,1.3
CER,Maize,Fresh residue from sweet corn,24.6,24.2,0.98,314,77,53.1,43.5,6,0.8,0.1,47.9,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,21.9,21.4,0.98,262.7,63,43.3,43.5,6.2,1,0.2,46.6,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,23.6,23.1,0.98,312.3,69,36.9,44.6,6.7,1.2,0.6,44.7,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,21.9,21.4,0.98,263.7,60,57.8,44,6.7,0.8,0.04,46.4,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,26.5,26,0.98,306.8,71,56.7,43.7,6.7,0.8,0.1,46.9,29.5,16.1,15.4,5.1,1.2
CER,Maize,Flour,87,85.4,0.98,325.4,80,37.8,41.4,6.8,1.1,0.1,48.8,60.9,7.2,6.2,6.8,1.2
LCM,Maize Residue,Cob,28.4,27.7,0.98,272.2,63,497.8,44.1,6.3,0.1,0.1,47.2,29,26,19.8,0.6,1.2
CER,Maize,Fresh residue from sweet corn,26.7,26.3,0.99,335.5,78,49.6,44.6,6.3,0.9,0.1,46.5,29.5,16.1,15.4,5.1,1.2
