comparison_method,model,n_folds,R2_fold_mean,R2_fold_sd,R2_fold_interval_low,R2_fold_interval_high,RMSE_fold_mean,RMSE_fold_sd,RMSE_fold_interval_low,RMSE_fold_interval_high,MAE_fold_mean,MAE_fold_sd,MAE_fold_interval_low,MAE_fold_interval_high,MAPE_pct_fold_mean,MAPE_pct_fold_sd,MAPE_pct_fold_interval_low,MAPE_pct_fold_interval_high,nRMSE_mean_pct_fold_mean,nRMSE_mean_pct_fold_sd,nRMSE_mean_pct_fold_interval_low,nRMSE_mean_pct_fold_interval_high,nRMSE_range_pct_fold_mean,nRMSE_range_pct_fold_sd,nRMSE_range_pct_fold_interval_low,nRMSE_range_pct_fold_interval_high,RPD_fold_mean,RPD_fold_sd,RPD_fold_interval_low,RPD_fold_interval_high,bias_pred_minus_obs_fold_mean,bias_pred_minus_obs_fold_sd,bias_pred_minus_obs_fold_interval_low,bias_pred_minus_obs_fold_interval_high,median_abs_error_fold_mean,median_abs_error_fold_sd,median_abs_error_fold_interval_low,median_abs_error_fold_interval_high
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,50,0.5755489973605207,0.14895688228463597,0.24291956651038374,0.7975840508515459,41.820894758419065,6.9562334257197715,28.209145365411555,52.85957638846149,32.40351958483509,5.778227837359003,21.213734219701852,42.71550667967736,15.992432627173716,5.205349469487909,9.951037568197215,28.138665445891238,16.544649415472232,2.65282662477413,11.459777035170426,21.472765394720028,16.001311082850787,3.2897215586644863,11.099014851254477,22.5610634601673,1.6341996089535784,0.280791704933019,1.1722603500285345,2.269638701260912,0.16466243034652867,9.237807708060542,-17.16607391151733,18.217090684614295,26.102824316070702,6.7810194646034745,14.335346867924079,37.25697118670086
direct_BMPDM_all_features,RF_nested_gridsearch,50,0.530027372998984,0.14160367155686573,0.24303353751585918,0.7306516715498363,44.517447648266106,8.555410113684712,30.214720530344035,60.402343533385064,33.56918703187805,6.587986069055052,22.984856608327586,45.73873300156154,18.35053198733146,9.373490763930947,9.87630028864199,39.226564937974736,17.635904600273644,3.4342188689083053,11.944010040680437,23.891270308142026,16.812294864962105,2.744726249875749,12.89596912865508,22.305518049461856,1.5367805942101898,0.22806798743349666,1.1729403743347682,1.9665907043185733,1.6083838848447671,10.276988556157706,-18.87825501949237,18.351328540416404,24.89510063751769,7.045566663589073,14.065864505026832,36.839977159887106
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,50,0.2951106886633556,0.1423102981660063,-0.05260727993145548,0.5000924005943607,54.74882800395091,8.199404453594033,41.083729308196126,70.31468008701714,42.446802339907116,6.826297739677018,31.30850213404418,55.46924841532636,21.169182098549314,6.950414201752099,13.216868187112164,36.93386692878884,21.67555595580305,3.1709415079786454,15.939190930681216,27.005675188439263,20.80236811343767,3.081204249796772,14.843414575485646,26.54351744468207,1.23255172152486,0.11896850919837877,0.9948405191290355,1.4435093102455694,-2.4970318072248743,11.370081579759773,-21.247894687820114,20.22257376470587,32.998080945447484,8.3089539723411,20.05535936953989,47.761052205882294
direct_BMPDM_all_features,Mean_baseline,50,-0.05178418831698938,0.07513807780365599,-0.2414258288898826,-6.174728207652972e-06,67.35494510837414,9.562263152532077,51.56041457228613,85.39804121700952,53.57555284145574,7.377283508650707,40.470392883674585,67.12653479842598,29.92691697873894,13.873288476105662,15.977901985305614,60.847421971707924,26.749862384081833,4.347787903439078,20.114179347831364,36.16019397297053,25.461001511418647,2.5125682678744403,20.732939923368438,30.438371163009965,0.9965344873042835,0.03226650701841692,0.9160293642368633,1.0205628066268608,0.06672103228351176,15.059205452707165,-23.27152586022875,30.614427549019634,43.66049328091633,9.895227893172805,28.063905071830686,61.32051790429044
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,50,0.42482762248338185,0.17789427380162753,0.09215443432459311,0.6742252673800931,48.94219089779507,7.611317476632533,36.89242435414652,63.9787219412549,38.64653697267899,6.325844518824145,28.714960150493262,51.28062689299884,18.134367127002786,4.479966570897444,13.107362493358677,29.354168361556106,19.38005212086914,2.993717412868567,15.037269177516857,24.548387118783953,18.686412757149117,3.4034749109846474,12.1747833416447,25.18107148772016,1.3867010782504263,0.19265345726140717,1.0711795525163506,1.789342762588413,-0.5915091757111349,10.665340054911704,-18.82816168821895,21.11505349399146,32.484461183430724,7.826148173685599,18.902015298548974,46.84958429909724
direct_BMPDM_all_features,LinearRegression,50,0.40080377212596274,0.17237346308228668,0.10014453678381395,0.6419443443388004,50.043962847743295,7.682844710843024,38.22196184620144,64.28678584872573,39.58740211358091,6.347704367205363,30.48718968325336,51.82217494880079,19.287651842332025,5.664145291262604,13.450860510737181,33.576868921009236,19.83149973959232,3.1484236858254966,15.686004101886644,25.054527390077574,19.0926518601402,3.3434836550807225,12.672706719692554,24.93311590377322,1.3545108152021335,0.18000880863501847,1.075724866171955,1.7061579911327034,-1.0437104424814516,10.746185505193857,-19.616448362528583,21.271307767038223,33.21831459374593,7.571103304288757,22.212486017070457,46.21945039616713
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,50,0.4362425047840743,0.18007249425701935,0.06291624406556483,0.6695167150762931,48.42196040649845,7.4519140275384625,36.60560132979682,63.4025117571369,38.38491753796573,6.247940189367729,29.113590821333123,50.857091479411956,18.349258482301504,4.870499975537163,12.640915194464593,32.027546687278125,19.168019237131173,2.8900373194999154,14.563291172839104,24.217803585601523,18.488274092942962,3.3498473776183633,12.226242855780443,24.87565964491816,1.4009825664752737,0.19162965735233062,1.0544475420736572,1.7754532266670044,-0.25408130776599563,10.754897097593714,-17.873739717974065,20.32636670329237,31.819090122256284,6.851547607008655,21.18687594475906,44.215711361006925
direct_BMPDM_all_features,Ridge_alpha_1,50,0.42542794124603633,0.16827017895772536,0.10052874335779675,0.649830892036057,48.97406273550815,7.337718711200578,37.07247581707755,63.393962862064896,38.79897503023081,6.052849252132757,29.663983754901178,51.216171354627534,18.32710630937371,4.44112852900881,12.98143052633271,29.721503978605558,19.395340566587468,2.906030340263047,15.16366206429517,24.73382055641488,18.69411654786533,3.2439809265311323,12.22129073964518,24.57735562319666,1.3830576059658974,0.1817115700672462,1.0761475642718192,1.7256036062740785,-0.549233926063706,10.68400083827197,-19.132754181153555,20.494914880005883,32.5315581633265,7.458294189907265,21.432890265871528,44.695122187304854
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,50,0.5785843293690326,0.13791886006484608,0.27816379226051346,0.7519448497952853,41.76822229034854,6.464417738829313,30.662968425546993,52.82826862421106,32.36143765230769,5.405800451712862,22.769796459999984,42.65653006,16.024204408946996,5.246271393606593,9.8583870636024,27.97922373451622,16.532991705878306,2.506368985910308,12.17769070565953,21.472453112134207,15.972708315905074,3.0625723621730327,10.739033865046721,21.191748906939054,1.627987410612705,0.24504373873061197,1.2013068837993677,2.048168863925967,0.5934935169230872,9.207989304804906,-16.39582311076923,17.852862007692323,26.192805599999993,6.230224544723402,16.76000800000009,38.985528
direct_BMPDM_all_features,RF_fixed_selected_params,50,0.5384782406329603,0.14076785951401796,0.2658898745893183,0.7507557286280971,44.09156695903441,8.50645444609505,30.595499870143538,60.20178020478758,33.559344144,6.6297092828853454,22.899130453846144,46.41444793999999,18.16795059328754,9.035473008702082,10.002191259559185,39.0201133867842,17.468298852640988,3.42284348092813,11.907128933409375,24.152865052051716,16.67351296998784,2.8256322597903143,12.272553153507904,21.922878953052344,1.5518044117371141,0.23338786287862598,1.1914934644516402,2.0445311975232823,1.7178290695384695,9.627215957208136,-16.06508205615384,17.188567007692292,25.543386600000005,7.5667084423237245,12.359444000000023,41.25636850000006
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,50,0.5774473090009348,0.15137887018366286,0.24793040311560346,0.7677105554243038,41.47819905457851,5.962437166280287,31.996566044449555,51.469015596323835,32.57090328510181,5.086467556712285,23.830030464388436,41.57975768374309,16.073759379222512,4.877758791519333,10.491008734654633,27.25733191308345,16.405460785621276,2.1995870084024665,12.6586879255216,20.48386131027426,15.964314177927323,3.424676670565085,10.199518038447314,21.785519629812768,1.6424364579258581,0.28473372048953255,1.1772198257489974,2.1176480075071025,0.5814366800736576,9.245765255435156,-15.99228766032317,17.02907900663979,26.007670245297714,6.470161691649526,15.623434592450456,37.89226659143335
direct_BMPDM_all_features,GradientBoosting_fixed,50,0.5406985995062467,0.15640223729492345,0.17948797327534882,0.768676892108353,43.53723843249155,7.2682485471998435,31.219993323592956,57.35639095701123,33.38399732628888,5.651089589437497,24.256300949862226,44.27567989010166,17.912789198756286,8.156597575066211,10.086197283964271,37.94916259270344,17.240714770618318,2.8864561461465303,12.579108926500394,22.574359362887808,16.617494482861375,3.2468302561448747,11.355336665856935,23.68420542932656,1.5685938935651305,0.2634112608503449,1.1266832192897773,2.123717396885829,1.149797268702323,10.026980520030081,-18.132990215432624,18.38940823815328,26.18445984888378,6.758150361954465,15.407416217468738,37.93524966116207
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,50,0.5644638342316821,0.15120667202351137,0.192236740149485,0.7610632564608912,42.324245793860236,6.735069812356105,29.78206897511065,56.32224983194489,32.73017416738463,5.477295624677587,22.855565650000017,43.8622943453846,16.128549742089742,4.964735945075123,10.346187698656335,27.099895668193096,16.741507765785435,2.52287134349271,12.206380228294408,21.43877601912457,16.216209663948586,3.3281642516971615,11.061948612430465,22.03483754435538,1.610994047761477,0.2663635024624361,1.1358753014996554,2.0900286534480483,0.7526901427692039,8.94686888392338,-16.89799346846158,17.854088756538424,25.790276799999994,6.57065205847087,15.131690250000064,38.60067749999999
direct_BMPDM_all_features,ExtraTrees_fixed,50,0.5222974464084037,0.16057392380514318,0.1736201973955767,0.7297487436931576,44.63303634856726,8.360233445133776,30.98766527276372,62.76333328017435,33.44587830861539,6.350775175741211,23.223227519999945,46.49221795999999,17.724595064767414,7.791925127093332,10.106553600188104,35.89643611763339,17.66794003101951,3.2470867613749217,12.157539740616409,23.923776861505676,16.94648180438389,3.1480301032326885,12.156553806272754,22.963620112349194,1.53383802343551,0.2469773458047844,1.1227282300008135,1.9623856994429696,1.6867380433846366,9.557592013062594,-17.776438729999988,19.30713552884625,26.114067799999997,6.560731516850735,15.658878374999995,38.275319749999994
