scenario_id,model,basis,feature,mean_abs_shap,rank
A_BMP_VS_all_features,RandomForest,full_data_apparent,Lignin,13.813546377939836,1
A_BMP_VS_all_features,RandomForest,full_data_apparent,DM,10.16217224160522,2
A_BMP_VS_all_features,RandomForest,full_data_apparent,Hydrogen,7.900915488437512,3
A_BMP_VS_all_features,RandomForest,full_data_apparent,Oxygen,7.235809876134389,4
A_BMP_VS_all_features,RandomForest,full_data_apparent,VS,6.80242049122364,5
A_BMP_VS_all_features,RandomForest,full_data_apparent,Hemicelluloses,4.363424018872286,6
A_BMP_VS_all_features,RandomForest,full_data_apparent,Carbon,3.4813137295405654,7
A_BMP_VS_all_features,RandomForest,full_data_apparent,C/N,1.8909270331474701,8
A_BMP_VS_all_features,RandomForest,full_data_apparent,Sulfur,1.4076060586240848,9
A_BMP_VS_all_features,RandomForest,full_data_apparent,Cellulose,1.3340295149352541,10
A_BMP_VS_all_features,RandomForest,full_data_apparent,Nitrogen,0.5380123289509048,11
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Lignin,15.854162964846498,1
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,VS,11.089250701393103,2
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,DM,11.052349251245351,3
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Hydrogen,9.73156873643106,4
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Oxygen,6.735407995046447,5
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Carbon,4.653474065628316,6
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Hemicelluloses,3.3779384023732484,7
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Cellulose,3.3286783055589297,8
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,C/N,2.9659486934973947,9
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Nitrogen,1.9606423253858185,10
A_BMP_VS_all_features,GradientBoosting,full_data_apparent,Sulfur,1.7878666637430665,11
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,DM,13.35893276421148,1
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Lignin,10.54084609076921,2
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Hydrogen,9.64280326435751,3
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,VS,6.881344718487089,4
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Oxygen,6.860649266226611,5
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Carbon,5.370551189711733,6
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Hemicelluloses,5.2995385064730165,7
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Cellulose,4.096233291777569,8
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Sulfur,3.0974491552940138,9
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,C/N,2.585584718940705,10
A_BMP_VS_all_features,ExtraTrees,full_data_apparent,Nitrogen,1.7373845666947163,11
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Lignin,17.287767721806265,1
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Oxygen,12.402892953882807,2
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Hydrogen,12.039369048007687,3
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Carbon,6.6052484380628576,4
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,C/N,4.073446354348691,5
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Hemicelluloses,3.478513432266778,6
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Nitrogen,1.4545698042707835,7
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Sulfur,1.3912492632953974,8
B_BMP_DM_no_DM_VS,RandomForest,full_data_apparent,Cellulose,0.7895533527237901,9
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Lignin,19.294126417481937,1
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Oxygen,12.843564472305504,2
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Hydrogen,12.30540661314189,3
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Carbon,8.413546687295238,4
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,C/N,4.992906266258788,5
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Hemicelluloses,4.436759237778213,6
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Cellulose,3.4099509220843296,7
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Nitrogen,2.2920178779387586,8
B_BMP_DM_no_DM_VS,GradientBoosting,full_data_apparent,Sulfur,0.9514886004175849,9
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Hydrogen,14.705585912283158,1
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Oxygen,13.075770440504215,2
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Lignin,12.694061492665606,3
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Carbon,9.547901565836012,4
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Hemicelluloses,5.156231258702186,5
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,C/N,3.9411308627685666,6
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Sulfur,3.9283187679985554,7
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Nitrogen,3.4895096804091588,8
B_BMP_DM_no_DM_VS,ExtraTrees,full_data_apparent,Cellulose,3.062104687870928,9
C_BMP_DM_all_features,RandomForest,full_data_apparent,Lignin,16.499715224869693,1
C_BMP_DM_all_features,RandomForest,full_data_apparent,Oxygen,10.42278920401095,2
C_BMP_DM_all_features,RandomForest,full_data_apparent,Hydrogen,9.266755237998423,3
C_BMP_DM_all_features,RandomForest,full_data_apparent,DM,7.377269747268672,4
C_BMP_DM_all_features,RandomForest,full_data_apparent,Carbon,6.252656708150974,5
C_BMP_DM_all_features,RandomForest,full_data_apparent,VS,5.5248542748435545,6
C_BMP_DM_all_features,RandomForest,full_data_apparent,Hemicelluloses,3.615761042631127,7
C_BMP_DM_all_features,RandomForest,full_data_apparent,C/N,2.525357057910206,8
C_BMP_DM_all_features,RandomForest,full_data_apparent,Nitrogen,2.2405296832961152,9
C_BMP_DM_all_features,RandomForest,full_data_apparent,Cellulose,2.049095042118654,10
C_BMP_DM_all_features,RandomForest,full_data_apparent,Sulfur,1.5892858436089352,11
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Lignin,17.073262425484113,1
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,DM,13.71888033815036,2
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Oxygen,12.898438423004622,3
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Hydrogen,11.474179554013457,4
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Carbon,5.774709808291324,5
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,VS,5.4697449561529545,6
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,C/N,3.0727533955756026,7
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Cellulose,2.8595239742904703,8
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Nitrogen,2.44262783563897,9
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Hemicelluloses,1.7996012978824765,10
C_BMP_DM_all_features,GradientBoosting,full_data_apparent,Sulfur,1.1964111253118792,11
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Lignin,11.974575934329438,1
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Hydrogen,11.876168082571692,2
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Oxygen,11.51644334749785,3
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,DM,10.450435267544325,4
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Carbon,8.720965848108802,5
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,VS,5.595455587876022,6
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Hemicelluloses,3.0985864543874224,7
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Cellulose,3.021618826343437,8
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Sulfur,2.9562337080405436,9
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,C/N,2.5333295486106944,10
C_BMP_DM_all_features,ExtraTrees,full_data_apparent,Nitrogen,1.7711635294824883,11
